Id,nt_type_baker
B1-5,Ach
B1-3,Ach
JO-A,Ach
B1-2,Ach
B1-1,Ach
JO-A,Ach
JO-B,Ach
B1-2,Ach
JO-B,Ach
JO-A,Ach
WV-WV-1,GABA
JO-B,Ach
B1-2,Ach
JO-B,Ach
B1-2,Ach
B1-1,Ach
JO-B,Ach
WV-WV-2,GABA
B1-4,Ach
JO-B,Ach
WV-WV-1,GABA
JO-B,Ach
A2,Ach
WED_pr02,GABA
WED-VLP-1,Ach
B1-3,Ach
WED_pr02,GABA
B2,GABA
B1-5,Ach
WED-VLP-2,Ach
B1-4,Ach
A2,Ach
JO-A,Ach
WV-WV-3,GABA
WV-WV-3,GABA
WED_pr02,GABA
B2,GABA
WED_pr02,GABA
WED-VLP-1,Ach
B1-2,Ach
JO-A,Ach
WED-VLP-2,Ach
WED_pr02,GABA
WV-WV-1,GABA
WV-WV-3,GABA
WED_pr02,GABA
AVLP_pr01-1,GABA
WED_pr02,GABA
pC2la,Ach
WED_pr02,GABA
B1-6,Ach
WED_pr02,GABA
B2,GABA
WV-WV-1,GABA
JO-A,Ach
WED-VLP-1,Ach
JO-B,Ach
B1-4,Ach
B1-1,Ach
SAD_pr02,GABA
AVLP_pr36/asp10a-1,Ach
A1,inconclusive
pC2lb,Ach
JO-A,Ach
AVLP_pr01-2,GABA
B2,GABA
vpoEN,Ach
JO-B,Ach
pC2lb,Ach
B2,GABA
JO-B,Ach
B1-u,Ach
B1-u,Ach
SAD_pr02,GABA
pC2lb,Ach
JO-B,Ach
aPN2,Ach
A2,Ach
SAD_pr02,GABA
JO-A,Ach
JO-B,Ach
WED-VLP-1,Ach
vpoEN,Ach
JO-B,Ach
B1-5,Ach
AVLP_pr01-1,GABA
vpoIN-1,GABA
WED-VLP-2,Ach
aPN3,GLUT
B2,GABA
WED_pr02,GABA
WV-WV-2,GABA
WV-WV-4,GABA
JO-A,Ach
WED_pr02,GABA
WED-VLP-1,Ach
JO-B,Ach
B1-3,Ach
JO-B,Ach
AVLP_pr01-1,GABA
vpoIN-1,GABA
AVLP_pr36/asp10a-1,Ach
WV-WV-3,GABA
vpoEN,Ach
pC2lb,Ach
JO-A,Ach
B1-u,Ach
JO-B,Ach
AVLP_pr01-1,GABA
AVLP_pr01-2,GABA
WED-VLP-1,Ach
WED-VLP-1,Ach
JO-B,Ach
B1-5,Ach
A2,Ach
WED_pr02,GABA
WED_pr01-1,Ach
WED_pr02,GABA
GNG_pr01-1,GABA
WED_pr02,GABA
WED_pr02,GABA
JO-A,Ach
B1-6,Ach
B1-u,Ach
B1-5,Ach
B1-6,Ach
B1-3,Ach
WED-VLP-2,Ach
B1-1,Ach
JO-B,Ach
AVLP_pr36/asp10a-1,Ach
B1-2,Ach
aPN2,Ach
B1-2,Ach
AVLP_pr23,Ach
A1,inconclusive
JO-A,Ach
JO-A,Ach
WV-WV-1,GABA
AVLP/PVLP_pr01-2,Ach
A2,Ach
JO-B,Ach
JO-A,Ach
aPN3,GLUT
aPN3,GLUT
vpoIN-1,GABA
vpoEN,Ach
pC2la,Ach
AVLP_pr36/asp10a-1,Ach
AVLP_pr36/asp10a-1,Ach
WV-WV-2,GABA
WED_pr02,GABA
AVLP_pr36/asp10a-1,Ach
aPN3,GLUT
WV-WV-1,GABA
WV-WV-1,GABA
WV-WV-3,GABA
JO-B,Ach
B2,GABA
AVLP_pr23,Ach
IPS_pr01-1,GABA
IPS_pr01-2,GABA
SAD_pr02,GABA
SAD_pr01,GABA
B1-5,Ach
B1-3,Ach
B1-4,Ach
PVLP_pr03-3,GABA
B1-4,Ach
B1-7,Ach
SAD_pr02,GABA
WED-VLP-2,Ach
AVLP_pr36/asp10a-1,Ach
B1-1,Ach
JO-B,Ach
B1-4,Ach
B1-7,Ach
WV-WV-1,GABA
B1-4,Ach
B1-2,Ach
PVLP_pr03-3,GABA
B1-5,Ach
JO-A,Ach
B1-5,Ach
SAD_pr02,GABA
AVLP_pr01-1,GABA
WED_pr01-1,Ach
B1-2,Ach
WV-WV-3,GABA
WED-VLP-2,Ach
AVLP_pr23,Ach
vpoEN,Ach
pC2lb,Ach
WV-WV-2,GABA
WED-VLP-1,Ach
AVLP_pr01-2,GABA
WV-WV-1,GABA
WED-VLP-1,Ach
IPS_pr02,GABA
WV-WV-3,GABA
B1-7,Ach
pC1d,Ach
B1-4,Ach
WV-WV-3,GABA
AVLP_pr02,GABA
AVLP_pr01-1,GABA
vpoEN,Ach
B2,GABA
B1-6,Ach
AVLP/PVLP_pr01-2,Ach
A2,Ach
B1-u,Ach
AVLP_pr18-2,Inconclusive
B1-u,Ach
B1-1,Ach
SAD_pr01,GABA
AVLP_pr23,Ach
AVLP_pr01-2,GABA
AVLP_pr01-2,GABA
pMN2,Ach
