type_pre,type_post,nt_type_banc,syn_count
B1-5,WED_pr02,Ach,6157
B1-3,WED_pr02,Ach,5439
JO-A,A2,Ach,4577
B1-2,WED_pr02,Ach,4154
B1-1,WED-VLP-1,Ach,3535
JO-A,WV-WV-3,Ach,3136
B1-2,WV-WV-2,Ach,2900
JO-B,B1-5,Ach,2877
JO-B,B1-4,Ach,2864
JO-A,WV-WV-1,Ach,2670
WV-WV-1,WED-VLP-1,GABA,2288
B1-2,WV-WV-1,Ach,2259
B1-2,WED-VLP-2,Ach,2240
B1-1,WV-WV-1,Ach,2219
JO-B,B1-3,Ach,2123
B1-4,A1,Ach,2080
WV-WV-2,WED_pr02,GABA,2066
JO-B,B1-1,Ach,2056
JO-B,B1-2,Ach,1977
JO-B,B1-7,Ach,1893
A2,WED-VLP-1,Ach,1890
WV-WV-1,WED_pr02,GABA,1862
JO-B,B1-u,Ach,1813
WED-VLP-1,AVLP_pr01-2,Ach,1741
WED_pr02,WED-VLP-1,GABA,1608
B2,B1-7,GABA,1556
WED-VLP-2,AVLP_pr01-2,Ach,1494
B1-3,WV-WV-2,Ach,1489
A2,AVLP_pr01-1,Ach,1407
B1-4,WV-WV-3,Ach,1367
WV-WV-3,GF,GABA,1351
WV-WV-3,A1,GABA,1343
WED_pr02,WED_pr02,GABA,1335
B1-5,WED_pr01-1,Ach,1323
B2,B1-2,GABA,1273
JO-A,SAD_pr01,Ach,1262
WED_pr02,B1-2,GABA,1060
WED-VLP-1,AVLP_pr01-1,Ach,994
JO-A,GF,Ach,946
WV-WV-1,AVLP_pr01-1,GABA,924
WED-VLP-2,WED_pr02,Ach,922
AVLP_pr01-1,vpoEN,GABA,896
WED_pr02,A2,GABA,872
B1-2,AVLP_pr23,Ach,834
WED_pr02,WV-WV-2,GABA,823
WV-WV-3,WV-WV-3,GABA,811
WED_pr02,B1-5,GABA,785
B1-6,aPN3,Ach,772
B2,B1-3,GABA,764
WED_pr02,WV-WV-1,GABA,751
WED_pr02,WED-VLP-2,GABA,746
WED_pr02,B1-3,GABA,740
WV-WV-1,WED-VLP-2,GABA,726
WED-VLP-1,AVLP_pr31,Ach,713
pC2la,pMN1,Ach,668
AVLP_pr01-2,WED-VLP-1,GABA,621
B1-4,GF,Ach,619
B2,B1-5,GABA,600
B1-1,WED_pr02,Ach,599
SAD_pr02,JO-B,GABA,590
JO-B,B2,Ach,588
JO-A,AVLP_pr01-1,Ach,571
B2,B1-4,GABA,553
JO-B,WV-WV-3,Ach,517
A1,A1,inconclusive,517
B1-u,WED-VLP-2,Ach,508
B1-u,WV-WV-1,Ach,500
vpoEN,pC2lb,Ach,492
A2,AVLP_pr23,Ach,479
SAD_pr02,WV-WV-3,GABA,465
JO-A,SAD_pr02,Ach,459
JO-B,GF,Ach,450
JO-B,B1-6,Ach,449
JO-A,B1-4,Ach,437
WED-VLP-1,WED_pr02,Ach,433
JO-B,IPS_pr02,Ach,422
JO-B,IPS_pr01-2,Ach,415
AVLP_pr01-1,WED-VLP-1,GABA,415
pC2lb,pC2lb,Ach,414
B2,B1-6,GABA,413
WED-VLP-2,WV-WV-1,Ach,396
WV-WV-4,A2,GABA,386
pC2lb,AVLP_pr36/asp10a-1,Ach,381
aPN2,aPN2,Ach,375
B1-5,SAD_pr02,Ach,372
aPN3,B1-5,GLUT,370
SAD_pr02,JO-A,GABA,364
WED-VLP-1,WED-VLP-1,Ach,353
vpoEN,AVLP_pr36/asp10a-1,Ach,351
WED_pr02,B1-1,GABA,336
WV-WV-2,WV-WV-2,GABA,333
JO-B,aPN2,Ach,322
vpoIN-1,pMN2,GABA,317
WED_pr02,JO-B,GABA,315
WED-VLP-1,vpoIN-3,Ach,314
AVLP_pr01-2,WED-VLP-2,GABA,310
WED-VLP-1,pC2lb,Ach,309
B1-3,WV-WV-1,Ach,302
B1-u,WED_pr02,Ach,296
vpoIN-1,pC2lb,GABA,296
AVLP_pr01-1,A2,GABA,295
A2,WV-WV-4,Ach,290
B1-u,WED-VLP-1,Ach,290
JO-B,WV-WV-2,Ach,289
WED_pr02,GF,GABA,286
GNG_pr01-1,A1,GABA,283
B1-6,IPS_pr01-1,Ach,282
WV-WV-3,B1-4,GABA,272
JO-B,SAD_pr02,Ach,265
vpoEN,pMN1,Ach,259
JO-A,WV-WV-2,Ach,258
AVLP_pr01-1,WV-WV-1,GABA,255
pC2lb,pMN1,Ach,253
WED_pr02,vpoEN,GABA,252
B1-6,WV-WV-3,Ach,248
JO-B,JO-B,Ach,244
WED_pr02,WV-WV-4,GABA,240
WED-VLP-2,vpoEN,Ach,239
AVLP_pr36/asp10a-1,pC2lb,Ach,239
B1-3,WV-WV-3,Ach,234
aPN2,IPS_pr02,Ach,234
AVLP_pr23,AVLP/PVLP_pr01-2,Ach,226
B1-2,WV-WV-3,Ach,212
JO-A,B1-u,Ach,212
A1,GF,inconclusive,209
JO-B,WV-WV-1,Ach,206
WED_pr02,AVLP_pr23,GABA,203
JO-A,B1-5,Ach,202
AVLP_pr36/asp10a-1,PVLP_pr03-2,Ach,200
WV-WV-1,WV-WV-1,GABA,199
A2,WV-WV-2,Ach,198
JO-B,WED_pr02,Ach,186
WED_pr01-1,WED_pr01-1,Ach,186
WV-WV-2,WV-WV-3,GABA,186
pC2lb,pC2la,Ach,185
aPN3,IPS_pr02,GLUT,184
vpoIN-1,pC1e,GABA,183
AVLP/PVLP_pr01-2,A1,Ach,176
JO-A,AVLP_pr23,Ach,165
vpoEN,pMN2,Ach,164
WED_pr02,B1-u,GABA,158
aPN3,B1-4,GLUT,157
WV-WV-3,A2,GABA,156
B1-2,AVLP_pr01-1,Ach,156
WV-WV-1,AVLP_pr23,GABA,155
SAD_pr01,GF,GABA,155
IPS_pr01-2,WED_pr01-2,GABA,154
B2,B1-u,GABA,153
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,150
JO-B,AVLP_pr23,Ach,146
AVLP_pr23,A1,Ach,144
WED-VLP-2,pC2lb,Ach,144
B1-1,AVLP_pr23,Ach,141
JO-A,JO-A,Ach,139
B1-1,WED-VLP-2,Ach,139
PVLP_pr03-3,A1,GABA,138
aPN3,aPN2,GLUT,137
